DateTime,Date,Name,Address,Phone1,Phone2,Total,Recived,Remaning,DueDate,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8
23:08.2,21/02/2022,ali2,chk,123,321,15000,0,15000,0,"('Steel 1/2', '100', '150')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
31:39.8,21/02/2022,ism,islamabad,334455,223344,0,0,-5000,0,0,0,0,0,0,0,0,0
32:15.2,21/02/2022,ism,islamabad,334455,223344,2000,0,-3000,0,"('Steel 1/2', '200', '10')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
34:57.7,21/02/2022,ism,islamabad,334455,223344,4000,0,1000,0,"('Steel 1/4', '400', '10')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
37:11.0,21/02/2022,ism,islamabad,334455,223344,0,500,500,0,Payment Recived,0,0,0,0,0,0,0
09:04.6,21/02/2022,jalo,kat,1122,2211,800,250,550,0,"('Steel 3/8', '10', '10')","('Steel 4NO', '10', '10')","('Steel 9NO', '10', '10')","('Tiron', '10', '10')","('Plastic', '10', '10')","('Garder 7x4', '10', '10')","('Karachi Steel', '10', '10')","('Rifle', '10', '10')"
12:17.1,21/02/2022,jalo,kat,1122,2211,0,550,0,0,Payment Recived,0,0,0,0,0,0,0
13:29.2,21/02/2022,jalo,kat,1122,2211,2000,2000,0,0,"('Cement', '10', '200')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
26:51.8,21/02/2022,baba,chak,333,333,40000,0,40000,0,"('Cement', '200', '200')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
,,,,,,,,,,,,,,,,,
53:03.0,21/02/2022,baba,chak,333,333,20000,0,0,0,"('Returning Bill', 'Steel 1/2', '200', '100')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
04:09.1,21/02/2022,tali,uk,123,123,20000,0,20000,0,"('Steel 1/2', '100', '200')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
15:29.8,21/02/2022,tali,uk,123,123,5000,0,15000,0,"('Returning', 'Steel 1/2', '500', '10')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
18:42.2,21/02/2022,hadi,udhwal,3355221515,3487152607,0,0,-500000,0,0,0,0,0,0,0,0,0
20:17.3,21/02/2022,hadi,udhwal,3355221515,3487152607,50000,0,-450000,0,"('Cement', '100', '500')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
21:45.8,21/02/2022,hadi,udhwal,3355221515,3487152607,400000,0,-50000,0,"('Steel 1/2', '400', '1000')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
24:24.5,21/02/2022,hadi,udhwal,3355221515,3487152607,100000,0,50000,0,"('Steel 1/2', '100', '1000')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
26:31.8,21/02/2022,hadi,udhwal,3355221515,3487152607,0,50000,0,0,Payment Recived,0,0,0,0,0,0,0
27:57.4,21/02/2022,hadi,udhwal,33552215151,,0,0,-10000,0,0,0,0,0,0,0,0,0
30:00.0,21/02/2022,jj,udh,3355,3355,50000,25000,25000,0,"('Steel 1/2', '100', '500')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
33:41.3,21/02/2022,jj,udh,3355,3355,35000,10000,0,0,"('Returning', 'Steel 1/2', '350', '100')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
53:52.4,21/02/2022,ad,chk,123,321,0,0,-10000,0,0,0,0,0,0,0,0,0
54:30.5,21/02/2022,ad,chk,123,321,5000,0,-5000,0,"('Steel 1/2', '500', '10')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
55:08.7,21/02/2022,ad,chk,123,321,6000,0,1000,0,"('Cement', '600', '10')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
42:46.4,22/02/2022,tali,uk,123,123,0,0,5000,0,Payment Sent to ad,0,0,0,0,0,0,0
42:46.4,22/02/2022,ad,chk,123,0,0,0,-9000,0,Payment Sent by tali,0,0,0,0,0,0,0
45:01.2,22/02/2022,tali,uk,123,123,0,0,3000,0,Payment Sent to ad,0,0,0,0,0,0,0
45:01.2,22/02/2022,ad,chk,123,0,0,0,-11000,0,Payment Sent by tali,0,0,0,0,0,0,0
47:52.3,22/02/2022,tali,uk,123,123,0,1500,1500,0,Payment Sent to ad,0,0,0,0,0,0,0
47:52.3,22/02/2022,ad,chk,123,0,0,0,-12500,0,Payment Sent by tali,0,0,0,0,0,0,0
2022-02-22 08:52:56.196904,2022-02-22,al,udh,123,,20000.0,0,20000.0,0,"('Steel 1/2', '100', '200')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
2022-02-22 08:53:34.076462,2022-02-22,ism,islamabad,334455,223344.0,0.0,0,500.0,0,"('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')","('', '0', '0')"
2022-02-22 08:53:51.013966,2022-02-22,al,udh,123,NaN,0,10000,10000,0,Payment Sent to ism,0,0,0,0,0,0,0
2022-02-22 08:53:51.013966,2022-02-22,ism,islamabad,334455,0,0,0,-9500,0,Payment Sent by al,0,0,0,0,0,0,0
